reseña_id,freelancer_id,texto_reseña,fecha_reseña,categoria_servicio,cluster,cluster_name,pc1,pc2
rv00001,FL0001,la comunicacion fue lo que mas valoro del trabajo realizado en este proyecto la comunicacion fue escasa y poco clara en momentos criticos del proyecto la comunicacion durante el proceso fue excepcional y mantuve total claridad sobre los avances,2020-06-06,Desarrollo de Software,2,Comunicacion / Proyecto,0.22108603138497315,0.3066622703819047
rv00002,FL0001,la calidad final fue buena aunque el proceso fue mas largo de lo necesario la calidad fue irregular segun la etapa del proyecto en que nos encontraramos,2021-05-14,Desarrollo de Software,1,Calidad / Trabajo,0.2067498513953523,-0.02731610190004753
rv00005,FL0001,el precio es muy alto comparado con otros freelancers que ofrecen la misma calidad el precio es razonable si se considera el tiempo ahorrado y los resultados obtenidos considerando el precio cobrado el resultado fue una excelente inversion a largo plazo,2023-02-12,Desarrollo de Software,0,Precio / Desconocido,0.2612948632068249,-0.22098705627341947
rv00006,FL0001,el precio cobrado fue excesivo para el resultado obtenido no lo recomiendo,2021-03-06,Desarrollo de Software,0,Precio / Desconocido,0.16415038199511908,-0.13520022309701318
rv00007,FL0001,la mala comunicacion llevo a tener que contratar a alguien mas para retomar el proyecto la comunicacion mejoro hacia el final pero al inicio fue muy complicada la comunicacion fue adecuada aunque podria mejorar la frecuencia de los reportes,2020-10-21,Desarrollo de Software,2,Comunicacion / Proyecto,0.20427648674034285,0.2840156672066488
rv00009,FL0003,la comunicacion asertiva resolvio conflictos antes de que se volvieran problemas reales la comunicacion fue profesional y se respetaron todos los plazos establecidos,2021-03-30,Diseño Gráfico,2,Comunicacion / Proyecto,0.15397027310041606,0.2629713093929299
rv00010,FL0003,muy buen precio comparado con otros perfiles similares disponibles en la plataforma el precio es razonable si se considera el tiempo ahorrado y los resultados obtenidos excelente relacion precio valor definitivamente una de las mejores inversiones del ano,2024-02-20,Diseño Gráfico,0,Precio / Desconocido,0.2065425924610165,-0.19970409579594808
rv00011,FL0003,excelente relacion precio valor definitivamente una de las mejores inversiones del ano el precio acordado se respeto en todo momento sin cobros adicionales inesperados el precio fue tan competitivo que opte por asignarle dos proyectos adicionales de inmediato,2021-07-02,Diseño Gráfico,0,Precio / Desconocido,0.20567981116892717,-0.16172496488800445
rv00012,FL0004,el precio es justo y el trabajo esta bien ejecutado totalmente recomendable el precio es alto pero completamente justificado por la especializacion que demuestra,2022-02-15,Diseño Gráfico,0,Precio / Desconocido,0.19691997144176437,-0.16418208480881286
rv00013,FL0004,el precio esta por encima del mercado y el trabajo no justifica esa diferencia el precio cobrado es muy razonable para la calidad y trabajo entregado,2022-12-07,Diseño Gráfico,0,Precio / Desconocido,0.30547613224930437,-0.21567959832000694
rv00015,FL0004,excelente calidad en cada entregable muy profesional y con atencion al detalle la calidad prometida no coincidio con el trabajo real que se entrego al final trabajo de alta calidad sin errores y ajustado exactamente a las especificaciones,2023-09-16,Diseño Gráfico,1,Calidad / Trabajo,0.29664647870032096,-0.09865598672510185
rv00016,FL0005,la comunicacion durante el proceso fue excepcional y mantuve total claridad sobre los avances el profesional mantuvo una comunicacion puntual y detallada sobre el avance muy buena comunicacion y siempre respondio mensajes dentro de pocas horas,2022-12-07,Marketing Digital,2,Comunicacion / Proyecto,0.20742896242356118,0.30127672554194707
rv00017,FL0005,el precio final se mantuvo dentro del presupuesto acordado muy transparente en el cobro el precio final supero el presupuesto acordado sin ninguna justificacion razonable para el precio que cobro esperaba un resultado de mayor nivel y mas profesional,2022-02-15,Marketing Digital,0,Precio / Desconocido,0.2637083148796418,-0.20620654125054086
rv00020,FL9343,mejorar la comunicacion es clave para que los proximos proyectos salgan bien la comunicacion efectiva permitio ajustar los entregables segun las necesidades,2024-02-20,Marketing Digital,2,Comunicacion / Proyecto,0.15778784938861634,0.22901353740274957
