reseña_id,freelancer_id,texto_reseña,fecha_reseña,categoria_servicio,cluster,cluster_name,pc1,pc2
rv00001,FL0001,la comunicacion fue lo que mas valoro del trabajo realizado en este proyecto la comunicacion fue escasa y poco clara en momentos criticos del proyecto la comunicacion durante el proceso fue excepcional y mantuve total claridad sobre los avances,2020-06-06,Desarrollo de Software,2,Comunicacion / Proyecto,0.2210860313849731,0.3066622703819047
rv00002,FL0001,la calidad final fue buena aunque el proceso fue mas largo de lo necesario la calidad fue irregular segun la etapa del proyecto en que nos encontraramos,2021-05-14,Desarrollo de Software,1,Calidad / Trabajo,0.2067498513953523,-0.0273161019000475
rv00005,FL0001,el precio es muy alto comparado con otros freelancers que ofrecen la misma calidad el precio es razonable si se considera el tiempo ahorrado y los resultados obtenidos considerando el precio cobrado el resultado fue una excelente inversion a largo plazo,2023-02-12,Desarrollo de Software,0,Precio / Desconocido,0.2612948632068249,-0.2209870562734194
rv00006,FL0001,el precio cobrado fue excesivo para el resultado obtenido no lo recomiendo,2021-03-06,Desarrollo de Software,0,Precio / Desconocido,0.164150381995119,-0.1352002230970131
rv00007,FL0001,la mala comunicacion llevo a tener que contratar a alguien mas para retomar el proyecto la comunicacion mejoro hacia el final pero al inicio fue muy complicada la comunicacion fue adecuada aunque podria mejorar la frecuencia de los reportes,2020-10-21,Desarrollo de Software,2,Comunicacion / Proyecto,0.2042764867403428,0.2840156672066488
rv00009,FL0003,la comunicacion asertiva resolvio conflictos antes de que se volvieran problemas reales la comunicacion fue profesional y se respetaron todos los plazos establecidos,2021-03-30,Diseño Gráfico,2,Comunicacion / Proyecto,0.153970273100416,0.2629713093929299
rv00010,FL0003,muy buen precio comparado con otros perfiles similares disponibles en la plataforma el precio es razonable si se considera el tiempo ahorrado y los resultados obtenidos excelente relacion precio valor definitivamente una de las mejores inversiones del ano,2024-02-20,Diseño Gráfico,0,Precio / Desconocido,0.2065425924610165,-0.199704095795948
rv00011,FL0003,excelente relacion precio valor definitivamente una de las mejores inversiones del ano el precio acordado se respeto en todo momento sin cobros adicionales inesperados el precio fue tan competitivo que opte por asignarle dos proyectos adicionales de inmediato,2021-07-02,Diseño Gráfico,0,Precio / Desconocido,0.2056798111689271,-0.1617249648880044
rv00012,FL0004,el precio es justo y el trabajo esta bien ejecutado totalmente recomendable el precio es alto pero completamente justificado por la especializacion que demuestra,2022-02-15,Diseño Gráfico,0,Precio / Desconocido,0.1969199714417643,-0.1641820848088128
rv00013,FL0004,el precio esta por encima del mercado y el trabajo no justifica esa diferencia el precio cobrado es muy razonable para la calidad y trabajo entregado,2022-12-07,Diseño Gráfico,0,Precio / Desconocido,0.3054761322493043,-0.2156795983200069
rv00015,FL0004,excelente calidad en cada entregable muy profesional y con atencion al detalle la calidad prometida no coincidio con el trabajo real que se entrego al final trabajo de alta calidad sin errores y ajustado exactamente a las especificaciones,2023-09-16,Diseño Gráfico,1,Calidad / Trabajo,0.2966464787003209,-0.0986559867251018
