review_id,freelancer_id,client_id,review_text,client_rating,communication_score,quality_score,delivery_score,budget_usd,project_category
1,1,1412,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. Se evaluo tiempo, calidad y comunicacion.",4.11,4.0,3.63,3.6,4782.84,mobile_development
2,2,1393,La comunicacion fue lenta y algunos requerimientos no quedaron claros. El alcance incluia revision de entregables.,3.12,2.68,2.24,2.96,1623.1,customer_support
3,3,1717,"La calidad fue alta y mantuvo comunicacion constante durante el proceso. Se evaluo tiempo, calidad y comunicacion.",4.79,4.33,4.89,4.77,2113.29,web_development
4,4,1488,"La calidad fue alta y mantuvo comunicacion constante durante el proceso. Se evaluo tiempo, calidad y comunicacion.",4.98,4.52,4.48,4.69,3560.14,graphic_design
5,5,1805,"Cumplio con la mayor parte del alcance definido. Se evaluo tiempo, calidad y comunicacion.",3.55,3.77,3.36,3.42,3342.4,web_development
6,6,1156,"Excelente trabajo, buena comunicacion y entrega rapida. El proyecto fue realizado en modalidad remota.",4.57,5.0,4.53,4.53,4198.9,digital_marketing
7,7,1743,"La entrega fue aceptable, pero la comunicacion pudo ser mejor. Se evaluo tiempo, calidad y comunicacion.",3.44,3.87,3.32,3.59,269.78,customer_support
8,8,1728,"Muy buen servicio, recomendado para proyectos futuros. Se evaluo tiempo, calidad y comunicacion.",4.6,4.37,4.53,4.67,1009.45,copywriting
9,9,1271,"Muy profesional, cumplio con todos los requerimientos del proyecto. La experiencia general fue registrada por el cliente.",4.73,4.67,4.45,4.51,367.9,graphic_design
10,10,1062,"Resultado funcional con algunos detalles pendientes al inicio. Se evaluo tiempo, calidad y comunicacion.",3.96,4.01,3.68,3.11,4186.68,data_analysis
11,11,1530,"Entrego antes de la fecha limite y resolvio cambios rapidamente. Se evaluo tiempo, calidad y comunicacion.",4.77,4.49,4.86,4.25,4988.47,data_analysis
12,12,1662,"Trabajo limpio, bien documentado y con buena atencion al cliente. Se evaluo tiempo, calidad y comunicacion.",4.93,4.84,4.89,4.99,1369.95,customer_support
13,13,1010,Resultado funcional con algunos detalles pendientes al inicio. El cliente solicito cambios adicionales.,4.0,4.25,4.05,3.51,2643.61,graphic_design
